101,Velvet Autumn,Mira Solis,18.5,10,Fiction,images/velvet-autumn.svg
102,Quiet Geometry,R. Han,24.0,6,Non-fiction,images/quiet-geometry.svg
103,Paper Lullaby,Neve Holt,16.75,12,Children,images/paper-lullaby.svg
104,Neon Circuit,Kai Chen,21.0,8,Sci-Fi,images/neon-circuit.svg
105,The Alchemist's Daughter,Elara Vance,19.99,15,Fantasy,images/default-cover.png
106,Echoes of the Void,Marcus Chen,22.5,5,Sci-Fi,images/default-cover.png
107,Code Complete,Steve McConnell,45.0,2,Education,images/default-cover.png
108,The Silent Patient,Alex Michaelides,14.5,20,Thriller,images/default-cover.png
109,Design Patterns,Gang of Four,55.0,4,Education,images/default-cover.png
110,Whispers in the Wind,Sarah Jenkins,12.99,8,Romance,images/default-cover.png
111,Beyond the Stars,James Holden,16.0,11,Sci-Fi,images/default-cover.png
112,Culinary Magic,Chef Gordon,29.99,3,Non-fiction,images/default-cover.png
113,The Iron Citadel,Brandon Sanderson,25.0,7,Fantasy,images/default-cover.png
114,Modern Art Explained,Lisa Zhou,34.5,6,Non-fiction,images/default-cover.png
115,Data Structures Java,Mark Allen Weiss,65.0,10,Education,images/default-cover.png
116,Crimson Sky,A.G. Riddle,18.0,14,Historical,images/default-cover.png
117,The Midnight Library,Alex Michaelides,15.5,9,Thriller,images/default-cover.png
118,Clean Architecture,Robert C. Martin,42.0,5,Education,images/default-cover.png
119,Ocean's Song,David Mitchell,11.2,18,Fiction,images/default-cover.png
120,Atomic Habits,Robert C. Martin,37.0,10,Education,images/default-cover.png
